0,1,2,3,4,5,6
2020,Moto2,55,Hafizh SYAHRIN,MAL,Inde  Aspar Team,Speed Up
2020,Moto3,75,Albert ARENAS,SPA,Valresa Aspar Team,KTM
2020,Moto3,82,Stefano NEPA,ITA,Valresa Aspar Team,KTM
2020,Moto2,9,Jorge NAVARRO,SPA,#NAME?,Speed Up
2020,Moto2,21,Fabio DI GIANNANTONIO,ITA,#NAME?,Speed Up
2020,Moto2,5,Alejandro MEDINA,SPA,Openbank Aspar Team,Speed Up
2020,Moto2,44,Aron CANET,SPA,Oceanica Aspar Team Moto2,Speed Up
2020,Moto2,55,Hafizh SYAHRIN,MAL,Oceanica Aspar Team Moto2,Speed Up
2020,Moto2,21,Fabio DI GIANNANTONIO,ITA,#NAME?,Speed Up
2020,Moto2,9,Jorge NAVARRO,SPA,#NAME?,Speed Up
2020,Moto3,82,Stefano NEPA,ITA,Pull&Bear Aspar Team Moto3,KTM
2020,Moto3,75,Albert ARENAS,SPA,Pull&Bear Aspar Team Moto3,KTM
2020,Moto2,54,Mattia PASINI,ITA,Red Bull KTM Ajo,Kalex
2020,Moto2,74,Piotr BIESIEKIRSKI,POL,NTS RW Racing GP,NTS
f,,,,,,
2020,Moto2,9,Jorge NAVARRO,SPA,Termozeta Speed Up,Speed Up
2020,Moto2,21,Fabio DI GIANNANTONIO,ITA,Termozeta Speed Up,Speed Up
2020,Moto2,55,Hafizh SYAHRIN,MAL,Kipin Energy Aspar Team Moto2,Speed Up
2020,Moto2,18,Xavi CARDELUS,AND,Kipin Energy Aspar Team Moto2,Speed Up
2020,Moto2,9,Jorge NAVARRO,SPA,Lightech Speed Up,Speed Up
2020,Moto2,21,Fabio DI GIANNANTONIO,ITA,Lightech Speed Up,Speed Up
2020,MotoGP,31,Garrett GERLOFF,USA,Monster Energy Yamaha MotoGP,YAHAMA
2020,MotoGP,32,Lorenzo SAVADORI,ITA,Aprilia Racing Team Gresini,Aprilia
2020,MotoGP,31,Garrett GERLOFF,USA,Monster Energy Yamaha MotoGP,Yamaha
2020,Moto3,82,Stefano NEPA,ITA,Valresa Aspar Team Moto3,KTM
2020,Moto3,75,Albert ARENAS,SPA,Valresa Aspar Team Moto3,KTM
2020,MotoGP,82,Mika KALLIO,FIN,Red Bull KTM Tech 3,KTM
